GO_term,name,namespace,def
GO:0000003,obsolete reproduction,biological_process,OBSOLETE. The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms.
GO:0000122,negative regulation of transcription by RNA polymerase II,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."
GO:0000166,nucleotide binding,molecular_function,"Binding to a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose."
GO:0000226,microtubule cytoskeleton organization,biological_process,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising microtubules and their associated proteins."
GO:0000278,mitotic cell cycle,biological_process,"Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."
GO:0000323,lytic vacuole,cellular_component,"A vacuole that is maintained at an acidic pH and which contains degradative enzymes, including a wide variety of acid hydrolases."
GO:0000785,chromatin,cellular_component,"The ordered and organized complex of DNA, protein, and sometimes RNA, that forms the chromosome."
GO:0000902,cell morphogenesis,biological_process,The developmental process in which the size or shape of a cell is generated and organized.
GO:0000904,obsolete cell morphogenesis involved in differentiation,biological_process,"OBSOLETE. The change in form (cell shape and size) that occurs when relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history."
GO:0000976,transcription cis-regulatory region binding,molecular_function,"Binding to a specific sequence of DNA that is part of a regulatory region that controls transcription of that section of the DNA. The transcribed region might be described as a gene, cistron, or operon."
GO:0001067,transcription regulatory region nucleic acid binding,molecular_function,"Binding to a nucleic acid region that regulates a nucleic acid-based process. Such processes include transcription, DNA replication, and DNA repair."
GO:0001654,eye development,biological_process,"The process whose specific outcome is the progression of the eye over time, from its formation to the mature structure. The eye is the organ of sight."
GO:0001932,regulation of protein phosphorylation,biological_process,"Any process that modulates the frequency, rate or extent of addition of phosphate groups into an amino acid in a protein."
GO:0001944,vasculature development,biological_process,"The process whose specific outcome is the progression of the vasculature over time, from its formation to the mature structure. The vasculature is an interconnected tubular multi-tissue structure that contains fluid that is actively transported around the organism."
GO:0002009,morphogenesis of an epithelium,biological_process,"The process in which the anatomical structures of epithelia are generated and organized. An epithelium consists of closely packed cells arranged in one or more layers, that covers the outer surfaces of the body or lines any internal cavity or tube."
GO:0002376,immune system process,biological_process,"Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."
GO:0002682,regulation of immune system process,biological_process,"Any process that modulates the frequency, rate, or extent of an immune system process."
GO:0002684,positive regulation of immune system process,biological_process,"Any process that activates or increases the frequency, rate, or extent of an immune system process."
GO:0003002,regionalization,biological_process,The pattern specification process that results in the subdivision of an axis or axes in space to define an area or volume in which specific patterns of cell differentiation will take place or in which cells interpret a specific environment.
GO:0003006,developmental process involved in reproduction,biological_process,"A developmental process in which a progressive change in the state of some part of an organism, germline or somatic, specifically contributes to its ability to form offspring."
GO:0003008,system process,biological_process,A multicellular organismal process carried out by any of the organs or tissues in an organ system. An organ system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a biological objective.
GO:0003674,molecular_function,molecular_function,"A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs."
GO:0003676,nucleic acid binding,molecular_function,Binding to a nucleic acid.
GO:0003677,DNA binding,molecular_function,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).
GO:0003690,double-stranded DNA binding,molecular_function,Binding to double-stranded DNA.
GO:0003700,DNA-binding transcription factor activity,molecular_function,"A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons."
GO:0003723,RNA binding,molecular_function,Binding to an RNA molecule or a portion thereof.
GO:0003729,mRNA binding,molecular_function,"Binding to messenger RNA (mRNA), an intermediate molecule between DNA and protein. mRNA includes UTR and coding sequences, but does not contain introns."
GO:0003824,catalytic activity,molecular_function,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
GO:0004672,protein kinase activity,molecular_function,"Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP."
GO:0004888,transmembrane signaling receptor activity,molecular_function,Combining with an extracellular or intracellular signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity or state as part of signal transduction.
GO:0005102,signaling receptor binding,molecular_function,"Binding to one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function."
GO:0005215,transporter activity,molecular_function,"Enables the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, accross or in between cells."
GO:0005488,binding,molecular_function,"The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule."
GO:0005515,protein binding,molecular_function,Binding to a protein.
